Year,Name,team,salary,position,Games,AtBats,Hit
2022年度,ロドリゲス,Fighters,9000,投手,22,999,999
2022年度,中島　卓也,Fighters,8000,内野手,68,130,29
2022年度,加藤　貴之,Fighters,7300,投手,22,999,999
2022年度,王　柏融,Fighters,7000,外野手,15,32,2
2022年度,杉浦　稔大,Fighters,7000,投手,16,999,999
2022年度,アルカンタラ,Fighters,6000,内野手,97,263,55
2022年度,堀　瑞輝,Fighters,6000,投手,41,999,999
2022年度,玉井　大翔,Fighters,5800,投手,50,999,999
2022年度,渡邉　諒,Fighters,5000,内野手,21,60,14
2022年度,伊藤　大海,Fighters,4100,投手,26,999,999
2022年度,石川　直也,Fighters,4000,投手,36,999,999
2022年度,井口　和朋,Fighters,3600,投手,23,999,999
2022年度,清水　優心,Fighters,3400,捕手,30,62,12
2022年度,メネズ,Fighters,3000,投手,15,999,999
2022年度,河野　竜生,Fighters,3000,投手,21,999,999
2022年度,杉谷　拳士,Fighters,2800,内野手,51,97,16
2022年度,石井　一成,Fighters,2500,内野手,102,296,70
2022年度,淺間　大基,Fighters,2500,外野手,75,224,52
2022年度,谷内　亮太,Fighters,2300,内野手,78,153,41
2022年度,髙濱　祐仁,Fighters,2200,内野手,7,17,1
2022年度,松本　剛,Fighters,2050,外野手,117,395,137
2022年度,金子　千尋,Fighters,2000,投手,3,999,999
2022年度,木村　文紀,Fighters,2000,外野手,38,95,17
2022年度,宇佐見　真吾,Fighters,2000,捕手,81,215,55
2022年度,西村　天裕,Fighters,2000,投手,18,999,999
2022年度,野村　佑希,Fighters,2000,内野手,93,348,97
2022年度,清宮　幸太郎,Fighters,1700,内野手,129,406,89
2022年度,立野　和明,Fighters,1700,投手,3,999,999
2022年度,石川　亮,Fighters,1700,捕手,23,45,7
2022年度,池田　隆英,Fighters,1700,投手,4,999,999
2022年度,上原　健太,Fighters,1600,投手,25,999,999
2022年度,五十幡　亮汰,Fighters,1150,外野手,6,14,4
2022年度,福田　俊,Fighters,1100,投手,13,999,999
2022年度,鈴木　健矢,Fighters,1050,投手,19,999,999
2022年度,達　孝太,Fighters,1000,投手,1,999,999
2022年度,上川畑　大悟,Fighters,1000,内野手,80,261,76
2022年度,佐藤　龍世,Fighters,980,内野手,37,96,11
2022年度,吉田　輝星,Fighters,970,投手,51,999,999
2022年度,古川　裕大,Fighters,900,捕手,36,96,22
2022年度,水野　達稀,Fighters,900,内野手,21,41,5
2022年度,生田目　翼,Fighters,900,投手,2,999,999
2022年度,谷川　昌希,Fighters,900,投手,9,999,999
2022年度,万波　中正,Fighters,900,外野手,100,296,60
2022年度,今川　優馬,Fighters,870,外野手,94,273,62
2022年度,郡　拓也,Fighters,800,捕手,26,56,7
2022年度,望月　大希,Fighters,770,投手,9,999,999
2022年度,北浦　竜次,Fighters,720,投手,11,999,999
2022年度,梅林　優貴,Fighters,700,捕手,22,48,5
2022年度,北山　亘基,Fighters,700,投手,55,999,999
2022年度,片岡　奨人,Fighters,700,外野手,13,24,3
2022年度,長谷川　威展,Fighters,700,投手,2,999,999
2022年度,有薗　直輝,Fighters,600,内野手,4,7,0
2022年度,細川　凌平,Fighters,570,内野手,20,41,7
2022年度,田中　瑛斗,Fighters,560,投手,4,999,999
2022年度,宮田　輝星,Fighters,550,外野手,6,7,1
2022年度,上野　響平,Fighters,550,内野手,12,27,2
2022年度,古川　侑利,Fighters,550,投手,34,999,999
2022年度,田宮　裕涼,Fighters,530,捕手,14,18,2
2022年度,松浦　慶斗,Fighters,520,投手,1,999,999
2022年度,畔柳　亨丞,Fighters,520,投手,1,999,999
2022年度,根本　悠楓,Fighters,520,投手,13,999,999
2022年度,阪口　樂,Fighters,520,内野手,3,6,1
2022年度,柿木　蓮,Fighters,520,投手,4,999,999
2022年度,レアード,Lotte,32000,内野手,112,365,69
2022年度,益田　直也,Lotte,20000,投手,52,999,999
2022年度,マーティン,Lotte,20000,外野手,68,221,36
2022年度,石川　歩,Lotte,15000,投手,20,999,999
2022年度,美馬　学,Lotte,12000,投手,20,999,999
2022年度,福田　秀平,Lotte,12000,外野手,20,41,7
2022年度,中村　奨吾,Lotte,11000,内野手,138,498,128
2022年度,エチェバリア,Lotte,10000,内野手,76,243,54
2022年度,荻野　貴司,Lotte,10000,外野手,89,326,101
2022年度,唐川　侑己,Lotte,9500,投手,17,999,999
2022年度,オスナ,Lotte,9000,投手,29,999,999
2022年度,国吉　佑樹,Lotte,7400,投手,6,999,999
2022年度,角中　勝也,Lotte,6500,外野手,53,129,33
2022年度,田村　龍弘,Lotte,6500,捕手,2,5,1
2022年度,藤岡　裕大,Lotte,6250,内野手,28,68,12
2022年度,小島　和哉,Lotte,6200,投手,24,999,999
2022年度,二木　康太,Lotte,5500,投手,9,999,999
2022年度,ロメロ,Lotte,5000,投手,20,999,999
2022年度,ゲレーロ,Lotte,5000,投手,49,999,999
2022年度,岩下　大輝,Lotte,4500,投手,14,999,999
2022年度,佐々木　千隼,Lotte,4500,投手,23,999,999
2022年度,西野　勇士,Lotte,4250,投手,37,999,999
2022年度,井上　晴哉,Lotte,4200,内野手,60,199,49
2022年度,田中　靖洋,Lotte,3400,投手,15,999,999
2022年度,岡　大海,Lotte,3200,外野手,98,207,45
2022年度,佐々木　朗希,Lotte,3000,投手,20,999,999
2022年度,安田　尚憲,Lotte,3000,内野手,119,388,102
2022年度,小野　郁,Lotte,2700,投手,44,999,999
2022年度,藤原　恭大,Lotte,2300,外野手,49,115,24
2022年度,東妻　勇輔,Lotte,2200,投手,3,999,999
2022年度,東條　大樹,Lotte,2200,投手,59,999,999
2022年度,種市　篤暉,Lotte,2200,投手,1,999,999
2022年度,三木　亮,Lotte,2150,内野手,46,25,4
2022年度,菅野　剛士,Lotte,2140,外野手,41,86,18
2022年度,加藤　匠馬,Lotte,2100,捕手,24,9,1
2022年度,佐藤　都志也,Lotte,2000,捕手,118,359,77
2022年度,鈴木　昭汰,Lotte,2000,投手,6,999,999
2022年度,中村　稔弥,Lotte,1800,投手,10,999,999
2022年度,和田　康士朗,Lotte,1800,外野手,69,28,5
2022年度,柿沼　友哉,Lotte,1600,捕手,34,19,3
2022年度,平沢　大河,Lotte,1500,内野手,13,27,4
2022年度,河村　説人,Lotte,1500,投手,4,999,999
2022年度,山口　航輝,Lotte,1400,外野手,102,321,76
2022年度,坂本　光士郎,Lotte,1400,投手,7,999,999
2022年度,松川　虎生,Lotte,1300,捕手,76,185,32
2022年度,池田　来翔,Lotte,1200,内野手,11,22,2
2022年度,廣畑　敦也,Lotte,1150,投手,30,999,999
2022年度,土肥　星也,Lotte,1050,投手,1,999,999
2022年度,髙部　瑛斗,Lotte,1000,外野手,137,541,148
2022年度,小川　龍成,Lotte,1000,内野手,68,55,6
2022年度,八木　彬,Lotte,960,投手,22,999,999
2022年度,福田　光輝,Lotte,810,内野手,13,18,3
2022年度,西巻　賢二,Lotte,720,内野手,2,0,0
2022年度,横山　陸人,Lotte,700,投手,1,999,999
2022年度,本前　郁也,Lotte,670,投手,12,999,999
2022年度,茶谷　健太,Lotte,550,内野手,57,137,34
2022年度,森　遼大朗,Lotte,420,投手,3,999,999
2022年度,小沼　健太,Lotte,300,投手,21,999,999
2022年度,佐藤　奨真,Lotte,300,投手,11,999,999
2022年度,山本　大斗,Lotte,230,外野手,2,2,0
